source_path,classification,destination,action,reason,review_status
knowledge/chatgpt/AUTHORING_CHECKLIST.md,LEGACY_WORKFLOW,production/knowledge/15_BUILD_EDIT_REPAIR_AND_DELIVERY.md,REWRITE,Useful workflow intent retained after removing ModForge/ModSpec coupling.,REVIEWED
knowledge/chatgpt/KNOWLEDGE_LOADING_ORDER.md,LEGACY_INSTRUCTIONS,production/PROJECT_INSTRUCTIONS.md,SUPERSEDED,Replaced by resident standalone instructions and retrieval contract.,REVIEWED
knowledge/chatgpt/MODSPEC_OUTPUT_CONTRACT.md,MODFORGE_COUPLED,,DROP,"Product-coupled schema/execution/validator artifact; engine facts, if any, are migrated separately.",REVIEWED
knowledge/chatgpt/PROJECT_INSTRUCTIONS.md,LEGACY_INSTRUCTIONS,production/PROJECT_INSTRUCTIONS.md,SUPERSEDED,Replaced by resident standalone instructions and retrieval contract.,REVIEWED
knowledge/chatgpt/REPAIR_RESPONSE_SCHEMA.json,MODFORGE_COUPLED,,DROP,"Product-coupled schema/execution/validator artifact; engine facts, if any, are migrated separately.",REVIEWED
knowledge/community/code_mod_patterns.md,COMMUNITY,production/17_EVIDENCE_REGISTRY.json,REWRITE,"Community material remains secondary evidence/pattern input, never parser or current-engine authority.",REVIEWED
knowledge/community/data_mod_patterns.md,COMMUNITY,production/17_EVIDENCE_REGISTRY.json,REWRITE,"Community material remains secondary evidence/pattern input, never parser or current-engine authority.",REVIEWED
knowledge/community/examples_registry.json,COMMUNITY,production/17_EVIDENCE_REGISTRY.json,REWRITE,"Community material remains secondary evidence/pattern input, never parser or current-engine authority.",REVIEWED
knowledge/evals/authoring_cases.json,LEGACY_EVAL,production/evals/,REWRITE,Legacy cases are migrated conceptually into standalone deterministic eval suites.,REVIEWED
knowledge/evals/code_mod_lint_cases.json,LEGACY_EVAL,production/evals/,REWRITE,Legacy cases are migrated conceptually into standalone deterministic eval suites.,REVIEWED
knowledge/evals/repair_cases.json,LEGACY_EVAL,production/evals/,REWRITE,Legacy cases are migrated conceptually into standalone deterministic eval suites.,REVIEWED
knowledge/evals/validation_cases.json,LEGACY_EVAL,production/evals/,REWRITE,Legacy cases are migrated conceptually into standalone deterministic eval suites.,REVIEWED
knowledge/examples/code_mod_invalid/EnumSource.INVALID.cs,CODE_FIXTURE,production/evals/core.json,MERGE,Useful Code Mod negative fixture semantics retained in deterministic compiler/security evals.,REVIEWED
knowledge/examples/code_mod_invalid/PlayerPrefs.INVALID.cs,CODE_FIXTURE,production/evals/core.json,MERGE,Useful Code Mod negative fixture semantics retained in deterministic compiler/security evals.,REVIEWED
knowledge/examples/code_mod_invalid/PrivilegedFreedom.REVIEW_REQUIRED.cs,CODE_FIXTURE,production/evals/core.json,MERGE,Useful Code Mod negative fixture semantics retained in deterministic compiler/security evals.,REVIEWED
knowledge/examples/code_mod_skeleton/meta.tyd,CODE_TEMPLATE,production/knowledge/06_CODE_MODDING_CORE_AND_DISTRIBUTION.md,REWRITE,Useful skeleton patterns require C#3/Workshop/local-DLL profile reconciliation.,REVIEWED
knowledge/examples/code_mod_skeleton/README.md,CODE_TEMPLATE,production/knowledge/06_CODE_MODDING_CORE_AND_DISTRIBUTION.md,REWRITE,Useful skeleton patterns require C#3/Workshop/local-DLL profile reconciliation.,REVIEWED
knowledge/examples/code_mod_skeleton/Source/ExampleBehaviour.cs,CODE_TEMPLATE,production/knowledge/06_CODE_MODDING_CORE_AND_DISTRIBUTION.md,REWRITE,Useful skeleton patterns require C#3/Workshop/local-DLL profile reconciliation.,REVIEWED
knowledge/examples/code_mod_skeleton/Source/Main.cs,CODE_TEMPLATE,production/knowledge/06_CODE_MODDING_CORE_AND_DISTRIBUTION.md,REWRITE,Useful skeleton patterns require C#3/Workshop/local-DLL profile reconciliation.,REVIEWED
knowledge/examples/code_mod_skeleton/Source/SettingsBehaviour.cs,CODE_TEMPLATE,production/knowledge/06_CODE_MODDING_CORE_AND_DISTRIBUTION.md,REWRITE,Useful skeleton patterns require C#3/Workshop/local-DLL profile reconciliation.,REVIEWED
knowledge/examples/code_mod_skeleton/TypeInfo.txt,CODE_TEMPLATE,production/knowledge/06_CODE_MODDING_CORE_AND_DISTRIBUTION.md,REWRITE,Useful skeleton patterns require C#3/Workshop/local-DLL profile reconciliation.,REVIEWED
knowledge/examples/invalid/duplicate_specialization.modspec.json,MODSPEC_EXAMPLE,,DROP,ModSpec fixture is not a Software Inc native artifact; retain only covered semantic regression intent.,REVIEWED
